file	bytes	sha256	published_on_branch
probes/p14-focus-visible_360.png	7501	995a552fe5a6fbf5a89f0698c39e1242bb7c2769042db47ef684103911493e7d	YES
probes/p15-textscale-125_360.png	51228	2a0f6b17a11c332695aa5c037c5ef654b298d92887d8b073c849f7fc61bc2606	YES
probes/p16-reduced-motion-home_360.png	5935	4dc871461d4bd2aba7c7832872012b3177e2efc2b75934a518c6b04438d15e40	no
probes/p17-route-loading_360.png	53041	619749da72634d39b7b3d9b37c8304b6e2cf614ad1a3e429d92e72ec98113137	no
probes/p18-corrections-layer-open_360.png	44713	e8607d723f6f116a77d38e2f6a6701b09acb62b2efae88e2b6ee960d2c2a28b2	YES
setup/setup-step1-filled_360.png	57560	73c82cf1b66a9d76fcbbcd18bc74fa95cf725ab36bcab4459371b532a31f65de	no
setup/setup-step1-firstuse_360.png	51554	75a907f2295926296415c086473fbbe47bc8cc654e2041406da9e4e8185fae67	YES
setup/setup-step2-wallet_360.png	45647	0a6fb32d169b1997710db40a677bef21be61dda88f1dd4ff11ac2253e9a0d203	YES
setup/splash-early_360.png	3468	d2a3c3b626eb4b400dbc185602fe2cc9bfecd257c686b0670858ca797f5bb35d	YES
storage-census-after-captures.json	1255	f9cea0eb1c850b16d7e81fdcc933704af1f58b4fdc6afff092a272aaf95e3b1d	no
